ID_NACIN_STUDIJA,ZAP_ST,ID_VIS_ZAVOD_PRG,ID_PROGRAM_PRG,slovenistika
1,1,1,ZE10,DVOPREDMETNI UČITELJ BIOLOGIJA - GOSPODINJSTVO UN
1,1,1,ZB00,SOCIALNA PEDAGOGIKA UN
1,1,1,ZE30,DVOPREDMETNI UČITELJ FIZIKA - KEMIJA UN
1,1,1,ZE40,DVOPREDMETNI UČITELJ FIZIKA - MATEMATIKA UN
1,1,1,ZE50,DVOPREDMETNI UČITELJ FIZIKA - RAČUNALNIŠTVO UN
1,1,1,ZE60,DVOPREDMETNI UČITELJ FIZIKA - TEHNIKA UN
1,1,1,ZE70,DVOPREDMETNI UČITELJ GOSPODINJSTVO - KEMIJA UN
1,1,1,WY00,LOGOPEDIJA IN SURDOPEDAGOGIKA UN
1,1,1,ZF00,LIKOVNA PEDAGOGIKA UN
1,1,1,ZE90,DVOPREDMETNI UČITELJ MATEMATIKA - RAČUNALNIŠTVO UN
1,1,1,ZE80,DVOPREDMETNI UČITELJ MATEMATIKA - TEHNIKA UN
2,1,1,ZH00,PREDŠOLSKA VZGOJA VS
1,1,1,ZC00,SPECIALNA IN REHABILITACIJSKA PEDAGOGIKA UN
1,1,1,ZA00,RAZREDNI POUK UN
1,1,1,ZEA0,DVOPREDMETNI UČITELJ RAČUNALNIŠTVO - TEHNIKA UN
1,1,1,ZE20,DVOPREDMETNI UČITELJ BIOLOGIJA - KEMIJA UN
2,1,4,R500,UPRAVA  VS
1,1,4,R400,UPRAVLJANJE JAVNEGA SEKTORJA  UN
1,1,6,VZ00,SOCIALNO DELO UN
2,1,9,TL00,NAVTIKA VS
2,1,9,TK00,PROMETNA TEHNOLOGIJA IN TRANSPORTNA LOGISTIKA VS
2,1,9,TM00,LADIJSKO STROJNIŠTVO VS
1,1,9,VR00,TEHNOLOGIJA PROMETA UN
2,1,11,ZO00,DELOVNA TERAPIJA VS
2,1,11,ZP00,FIZIOTERAPIJA VS
2,1,11,ZQ00,LABORATORIJSKA ZOBNA PROTETIKA VS
1,1,11,QZ00,SANITARNO INŽENIRSTVO UN
2,1,11,ZR00,ORTOTIKA IN PROTETIKA VS
2,1,11,ZS00,BABIŠTVO VS
2,1,11,UX00,RADIOLOŠKA TEHNOLOGIJA VS
2,1,11,ZN00,ZDRAVSTVENA NEGA VS
1,1,18,Q900,KULTURE VZHODNE AZIJE - DVOPREDMETNI UN
1,2,18,QL00,RUSISTIKA - DVOPREDMETNI UN
1,1,18,Q900,SPLOŠNO JEZIKOSLOVJE - DVOPREDMETNI UN
1,2,18,QS00,SLOVAKISTIKA - DVOPREDMETNI UN
1,1,18,Q900,PRIMERJALNO SLOVANSKO JEZIKOSLOVJE - DVOPREDMETNI UN
1,2,18,QN00,"LATINSKI JEZIK, KNJIŽEVNOST IN KULTURA - DVOPREDMETNI UN"
1,1,18,Q900,NEMCISTIKA - DVOPREDMETNI UN
1,1,18,Q900,PRIMERJALNO JEZIKOSLOVJE - DVOPREDMETNI UN
1,2,18,QJ00,POLONISTIKA - DVOPREDMETNI UN
1,1,18,QA00,SOCIOLOGIJA - DVOPREDMETNI UN
1,2,18,QC00,SLOVENISTIKA - DVOPREDMETNI UN
1,1,18,QA00,ŠPANSKI JEZIK IN KNJIŽEVNOST - DVOPREDMETNI UN
1,2,18,QI00,UMETNOSTNA ZGODOVINA - DVOPREDMETNI UN
1,1,18,QA00,ZGODOVINA - DVOPREDMETNI UN
1,2,18,QF00,PEDAGOGIKA IN ANDRAGOGIKA - DVOPREDMETNI UN
1,1,18,QA00,PEDAGOGIKA IN ANDRAGOGIKA - ENOPREDMETNI UN
1,2,18,QR00,PRIMERJALNA KNJIŽEVNOST IN LITERARNA TEORIJA - DVOPREDMETNI UN
1,1,18,QA00,MEDJEZIKOVNO POSREDOVANJE - SLOVENŠČINA-ANGLEŠČINA-NEMŠČINA UN
1,2,18,QP00,ETNOLOGIJA IN KULTURNA ANTROPOLOGIJA -  DVOPREDMETNI UN
1,1,18,QA00,FILOZOFIJA - DVOPREDMETNI UN
1,2,18,QQ00,GEOGRAFIJA - DVOPREDMETNI UN
1,1,18,QA00,JAPONOLOGIJA - DVOPREDMETNI UN
1,2,18,QT00,FILOZOFIJA - ENOPREDMETNI UN
1,1,18,QA00,FRANCISTIKA - DVOPREDMETNI UN
1,2,18,QV00,ITALIJANSKI JEZIK IN KNJIŽEVNOST - DVOPREDMETNI UN
1,1,18,QC00,JUŽNOSLOVANSKI ŠTUDIJI - DVOPREDMETNI UN
1,2,18,QI00,"GRŠKI JEZIK, KNJIŽEVNOST IN KULTURA - DVOPREDMETNI UN"
1,1,18,QC00,JAPONOLOGIJA - ENOPREDMETNI UN
1,2,18,QF00,PRIMERJALNA KNJIŽEVNOST IN LITERARNA TEORIJA - ENOPREDMETNI UN
1,1,18,QC00,MEDJEZIKOVNO POSREDOVANJE - SLOVENŠČINA-ANGLEŠČINA-FRANCOŠČINA UN
1,2,18,QR00,MEDJEZIKOVNO POSREDOVANJE - SLOVENŠČINA-ANGLEŠČINA-ITALIJANŠČINA UN
1,1,18,QC00,PSIHOLOGIJA - ENOPREDMETNI UN
1,2,18,QP00,SINOLOGIJA - ENOPREDMETNI UN
1,1,18,QC00,SOCIOLOGIJA KULTURE - ENOPREDMETNI UN
1,2,18,QQ00,SLOVENISTIKA - ENOPREDMETNI UN
1,1,18,QC00,UMETNOSTNA ZGODOVINA - ENOPREDMETNI   UN
1,2,18,QT00,ZAHODNOSLOVANSKI ŠTUDIJI - ENOPREDMETNI UN
1,1,18,QC00,ZGODOVINA - ENOPREDMETNI UN
1,2,18,QV00,BOHEMISTIKA - DVOPREDMETNI UN
